evidence_id,required_item,status,value_summary,unit,source_keys,source_locations,derivation_or_extraction,claim_limit,downstream_decision
frontier_source_timeseries,"Measured Frontier source heat quantity, temperature grade, and temporal profile",FOUND_MEASURED,"49,869 valid 10-minute source intervals, 2,691 unavailable intervals, 75,573.6 MWh-th observed heat; mean 9.0927 MW and maximum 26.3353 MW.",MW_th; MWh_th; count,frontier_hpc_facility_data_v4;frontier_scientific_data_article,Workbook Frontier2023; Scientific Data article dataset description and data-record sections,Workbook numeric Overall_WasteHeat values summed with a 10-minute timestep; unavailable timestamps remain explicit.,Measured source availability only; not a receiving-demand trace.,Use as measured source input for bounded dispatch scenarios.
ornl_receiving_hourly_demand_profile,ORNL hourly or sub-hourly receiving heat-demand profile or auditable reconstruction,NOT_FOUND,No public hourly or sub-hourly receiving-demand trace or auditable reconstruction input was found.,MW_th time series,frontier_ornl_showcase_report,Report Section 6 states collection of building heating/hot-water demand data posed notable difficulties.,"Search covered the ORNL/OSTI report, ORNL publication page, Figshare, OSTI, and web-indexed HP ShowCase terms.",Do not claim observed or calibrated annual delivery.,Retain only constant lower/upper demand-bound dispatch scenarios.
ornl_receiving_demand_summary,ORNL receiving heat-demand measured summary bounds,FOUND_MEASURED,Figure 13 reports one-year recorded space-heating summaries: Case A 5600-5700-5800 average 0.76 MW and maximum 2.09 MW; selected Case B average 1.31 MW and maximum 3.61 MW.,MW_th,frontier_ornl_showcase_report,Figure 13 Building Selection worksheet screenshot; Table 4 case definitions.,"Manual transcription from the report figure; 0.76 MW * 8,760 h is consistent with >6,640 MWh/year.",Summary bounds only; no timestamped profile or load-shape reconstruction.,"Use for narrative demand evidence and bounds, not calibrated dispatch."
source_capture_efficiency,Frontier source-side heat-capture or heat-exchanger efficiency,FOUND_BOUND_ONLY,"The article reports cooling distribution carries away up to 97%-99% of waste heat, but no new recovery heat-exchanger efficiency is reported.",fraction,frontier_scientific_data_article;frontier_ornl_showcase_report,Scientific Data cooling-system description; ORNL report Frontier cooling-loop description.,"The 97%-99% statement bounds heat carried in the existing cooling loop, not recoverable heat across a proposed exchanger.",Do not convert the bound into a measured case source-capture efficiency.,Keep unity capture only as an explicit upper-bound sensitivity.
balance_of_plant_auxiliary_electricity,Balance-of-plant auxiliary electricity for heat recovery,FOUND_BOUND_ONLY,"Frontier accessory/cooling power is measured, but incremental heat-recovery pumps, controls, and exchangers are not isolated.",MWh_e/MWh_th,frontier_hpc_facility_data_v4;frontier_scientific_data_article,Workbook accessory-power columns; Scientific Data Figures 4-5 discussion.,"Accessory power describes the existing facility cooling system, not the marginal auxiliary load of a new heat-recovery project.",Do not use measured accessory power as project auxiliary electricity.,Keep project auxiliary electricity missing; generic values remain labeled as generic sensitivities.
route_length_and_path,Route length and plausible thermal-network path,FOUND_BOUND_ONLY,"The report states existing steam travels about 1 mile with about 8% loss, and the official map locates relevant buildings; no designed Frontier hot-water route is published.",mile; map context,frontier_ornl_showcase_report;ornl_main_campus_map_2025,ORNL report Case A discussion; ORNL Main Campus and Key map.,Existing steam-line distance and campus building context are not a new hot-water route geometry.,Do not claim calibrated thermal-network transport or a route-specific loss function.,Treat near-distance transport as conditional/generic only.
hydraulic_network_design_inputs,Hydraulic/network design inputs,NOT_FOUND,"No pipe diameter, length-by-segment, insulation, pump head, flow, pressure-drop, trenching, or hydraulic profile was found for a new Frontier-to-ORNL hot-water network.",site-specific design inputs,frontier_ornl_showcase_report;ornl_main_campus_map_2025,Report and official map provide concept and building context only.,"Absence confirmed after targeted route, pipeline, hydraulic, and HP ShowCase searches.","Cannot calibrate transport losses, pumping energy, or network CAPEX.",Exclude calibrated thermal-network transport claims.
case_storage_design,Storage tank volume and operating temperature difference,NOT_FOUND,No case-specific storage tank volume or operating Delta-T was found.,m3; K,frontier_ornl_showcase_report;denmark_energy_storage_datasheets_v0011,ORNL report contains no storage design; Danish TTES datasheet is generic comparator evidence.,The reported 75-85 deg C heat-pump sink loop is not a storage-tank operating range.,Do not present generic tank sensitivity as a Frontier/ORNL storage design.,Retain storage only as formula/generic sensitivity.
source_outage_availability,Outage/availability information for the measured source,FOUND_MEASURED,"Scientific Data reports approximately 440 h lost to planned maintenance and unplanned downtime; the aligned calendar contains 2,691 missing 10-minute timestamps out of 52,560 expected intervals.",hour; count,frontier_scientific_data_article;frontier_hpc_facility_data_v4,Scientific Data Data Records section; generated source-potential inventory.,Calendar alignment rounds timestamp drift to nominal 10-minute timestamps and does not impute unavailable source heat.,Source downtime is measured; heat-recovery equipment availability is not.,Use missing intervals as unavailable source intervals in dispatch.
heat_recovery_system_availability,Outage/availability information for the proposed heat-recovery system,NOT_FOUND,"No case-specific heat-pump, storage, pump, exchanger, or network outage schedule was found.",fraction; schedule,frontier_ornl_showcase_report,ORNL report case-study sections and Table 5.,Generic technology outage assumptions exist but are not Frontier/ORNL project evidence.,Do not claim observed annual heat-recovery-system availability.,Use only explicit generic sensitivity assumptions.
heat_pump_cop_capacity,Heat-pump technology capacity and COP used for bounded dispatch,FOUND_DERIVABLE,Carrier 61XWHZE case COP 3.08; three 1 MW-th units imply 3.0 MW-th total capacity.,MW_heat/MW_e; MW_th,frontier_ornl_showcase_report;carrier_product_envelope,ORNL report Table 4/Figure 16 discussion and Carrier product envelope.,Total capacity = 3 units * 1 MW-th/unit.,Unit performance evidence does not supply full balance-of-plant or installed project performance.,Use for bounded technology and dispatch sensitivity.
cost_and_price_year,Installed/project/equipment cost and price year,FOUND_BOUND_ONLY,"ORNL reports Carrier 61XWHZE-1000 capital cost of $200,000 per unit and payback times, but no full installed project cost or price year.",USD/unit; year missing,frontier_ornl_showcase_report,Report Section 5.1 and Table 5.,Equipment-only unit quote transcribed from the report; price year and balance-of-plant scope are not defined.,"Do not compute Frontier-specific LCOH, NPC, or payback from this partial cost.",Keep economics as generic comparator or partial equipment context.
equipment_embodied_co2e,"Equipment, construction, refrigerant, and replacement lifecycle emissions",NOT_FOUND,"No case-specific lifecycle inventory for heat pumps, storage, pipe network, refrigerant, construction, or replacements was found.",kg_CO2e,frontier_ornl_showcase_report;epa_egrid_2023_rev2;epa_factors_2025,ORNL report has operating CO2 reductions; EPA/EIA factors support operational emissions only.,Operational factors do not define cradle-to-grave equipment embodied emissions.,Do not claim case-specific lifecycle CO2e.,Limit emissions to operational comparator sensitivities.
receiving_water_flow_temperature,Receiving-water flow and upstream temperature,NOT_FOUND,No candidate receiving-water flow and upstream-temperature pair for a proposed residual heat discharge was found.,m3/s; deg_C,tdec_tn0002941_compliance_inspection_2025;doe_orr_aser_2024;epa_tennessee_water_quality_standards_2024,TDEC inspection confirms sitewide permit context; Tennessee criteria define temperature limits.,Existing site monitoring and standards do not define a candidate outfall hydraulic heat capacity.,Do not calculate a site-specific receiving-water thermal capacity.,Exclude new external receiving-water discharge as practical pathway.
