value_id,manuscript_section,claim_label,value,unit,display_value,evidence_status,eligibility,source_artifact,source_selector,source_sha256,derivation,claim_limit
global_scenarios_evaluated,Global theoretical screening,Canonical one-unit scenarios evaluated,94,count,94,MODEL_OUTPUT,THEORETICAL,results/canonical/one_unit_allocations.csv,row_count,b6277c4652dd4601e1a8ddd959f38621eef393d3216010f9a1ff87ce18f806cd,Number of canonical scenario rows.,Scenario count is not a sample size for a population inference.
global_relocation_positive_scenarios,Global theoretical screening,Canonical scenarios with relocation-positive results,93,count,93,MODEL_OUTPUT,THEORETICAL,results/canonical/one_unit_allocations.csv,sum(relocation_dominates == true),b6277c4652dd4601e1a8ddd959f38621eef393d3216010f9a1ff87ce18f806cd,Count of canonical scenarios whose relocation solution dominates.,Positive screening value is not practical environmental admissibility.
matched_spatial_value,Global theoretical screening,Matched-event spatial screening bound,777.764465332031,burden_units_per_GJ,777.7645,MODEL_OUTPUT,THEORETICAL,results/canonical/matched_event_allocations.csv,analysis == spatial; net_benefit,1721c3be6e249a678fcf4e5a6d42d1f85118ce7c0cb670ef17f0da5346ff4b78,Direct selection of the matched-event spatial row.,Marginal burden-space screening bound; not physical heat delivery.
matched_temporal_value,Global theoretical screening,Same-location temporal screening bound,419.329376220703,burden_units_per_GJ,419.3294,MODEL_OUTPUT,THEORETICAL,results/canonical/matched_event_allocations.csv,analysis == temporal; net_benefit,1721c3be6e249a678fcf4e5a6d42d1f85118ce7c0cb670ef17f0da5346ff4b78,Direct selection of the matched-event temporal row.,Marginal burden-space screening bound; not physical heat delivery.
matched_temporal_fraction,Global theoretical screening,Temporal value relative to matched spatial value,0.53914699746753,fraction,53.9147%,DERIVED_MODEL_OUTPUT,THEORETICAL,results/canonical/matched_event_allocations.csv,analysis == temporal; fraction_of_matched_spatial,1721c3be6e249a678fcf4e5a6d42d1f85118ce7c0cb670ef17f0da5346ff4b78,Temporal net benefit divided by spatial net benefit.,Ratio compares burden-space bounds only.
matched_source_latitude,Global theoretical screening,Matched-event source latitude,23.8092002868652,degree_north,23.81,MODEL_OUTPUT,THEORETICAL,results/canonical/matched_event_allocations.csv,analysis == spatial; source_latitude,1721c3be6e249a678fcf4e5a6d42d1f85118ce7c0cb670ef17f0da5346ff4b78,Direct selection of the matched spatial source cell.,"Grid-cell coordinate, not a site-selection recommendation."
matched_source_longitude,Global theoretical screening,Matched-event source longitude,90,degree_east,90.00,MODEL_OUTPUT,THEORETICAL,results/canonical/matched_event_allocations.csv,analysis == spatial; source_longitude,1721c3be6e249a678fcf4e5a6d42d1f85118ce7c0cb670ef17f0da5346ff4b78,Direct selection of the matched spatial source cell.,"Grid-cell coordinate, not a site-selection recommendation."
matched_sink_latitude,Global theoretical screening,Matched-event zero-penalty sink latitude,44.761100769043,degree_north,44.76,MODEL_OUTPUT,THEORETICAL,results/canonical/matched_event_allocations.csv,analysis == spatial; sink_latitude,1721c3be6e249a678fcf4e5a6d42d1f85118ce7c0cb670ef17f0da5346ff4b78,Direct selection of the matched spatial sink cell.,Mathematical sink is not automatically environmentally safe.
matched_sink_longitude,Global theoretical screening,Matched-event zero-penalty sink longitude,135,degree_east,135.00,MODEL_OUTPUT,THEORETICAL,results/canonical/matched_event_allocations.csv,analysis == spatial; sink_longitude,1721c3be6e249a678fcf4e5a6d42d1f85118ce7c0cb670ef17f0da5346ff4b78,Direct selection of the matched spatial sink cell.,Mathematical sink is not automatically environmentally safe.
matched_source_sink_distance,Global theoretical screening,Matched-event source-to-sink distance,4665.74723501065,km,"4,665.7",MODEL_OUTPUT,THEORETICAL,results/canonical/matched_event_allocations.csv,analysis == spatial; distance_km,1721c3be6e249a678fcf4e5a6d42d1f85118ce7c0cb670ef17f0da5346ff4b78,Great-circle distance between selected grid cells.,Distance does not define an engineering transport route.
