claim_id,claim_level,claim_text,support_artifacts,evidence_status,allowed_use,prohibited_overstatement
L1_global_screening_bound,Level 1 directly supported,The frozen global model identifies positive one-unit relocation screening value in 93 of 94 canonical scenarios.,provenance/manuscript_values.csv;results/canonical/one_unit_allocations.csv,MODEL_OUTPUT,Report as a theoretical screening result.,Do not call it practical heat delivery.
L1_spatial_temporal_values,Level 1 directly supported,The matched-event spatial screening value is 777.7645 burden units/GJ; the same-location temporal value is 419.3294 burden units/GJ.,provenance/manuscript_values.csv;results/canonical/matched_event_allocations.csv,MODEL_OUTPUT,Compare frozen burden-space bounds.,Do not monetize or health-convert burden units.
L1_free_sink_pathology,Level 1 directly supported,The unconstrained human-burden objective selects an open-ocean mathematical sink: True.,results/canonical/safety_ablation.csv;results/tables/free_sink_failure_matrix.csv,MODEL_OUTPUT,Use as the no-free-sink diagnostic.,Do not describe the ocean as a safe sink.
L1_measured_source,Level 1 directly supported,"The measured Frontier source contains 49,869 valid intervals and 75,573.6 MWh-th.",provenance/manuscript_values.csv;data/raw/real_heat_cases/frontier_figshare_v4_20260924T115656Z/,FOUND_MEASURED,Use as measured source availability.,Do not impute missing source timestamps.
L1_zero_supported_endpoint,Level 1 directly supported,0 practical modes are evidence-supported; 6 modes remain conditional; final endpoint status is EXCLUDED.,results/techno_economic/practical_pareto_modes.csv;results/tables/global_to_real_constraint_waterfall.csv,EVIDENCE_GATE,Report zero supported delivered-heat endpoint.,Do not recommend a Frontier-to-ORNL project as deployable.
L2_burden_shifting_framework,Level 2 interpretive but defensible,Optimizing local thermal burden can shift environmental burden when the receiving environment is treated as free.,results/tables/burden_shifting_cascade.csv;results/tables/free_sink_failure_matrix.csv;provenance/jcp_references_verified.csv,MODEL_OUTPUT_PLUS_LITERATURE,Use as the JCP contribution framing.,Do not claim all heat reuse is burden shifting.
L2_jcp_novelty,Level 2 interpretive but defensible,"The contribution is a conservation-aware, evidence-gated thermal-allocation framework for detecting problem shifting.",docs/JCP_SCOPE_NOVELTY_AUDIT.md;provenance/jcp_references_verified.csv,LITERATURE_POSITIONING,Use as novelty claim if scoped to detection and gating.,Do not claim first study of burden shifting.
L3_prohibited_safe_sink,Level 3 unsupported/prohibited,A specific receiving sink is environmentally safe.,none,UNSUPPORTED,Exclude.,"Any recommendation of ocean, cryosphere, land, or ambient discharge as safe."
L3_prohibited_deployable_relocation,Level 3 unsupported/prohibited,The study demonstrates deployable global heat relocation.,none,UNSUPPORTED,Exclude.,Do not state or imply operational global heat relocation.
L3_prohibited_cost_or_lca,Level 3 unsupported/prohibited,"Case-specific LCOH, NPC, payback, or lifecycle CO2e is known.",provenance/case_specific_evidence.csv,NOT_FOUND_OR_BOUND_ONLY,Only identify as an evidence gap.,Do not fabricate cost or embodied-emissions values.
L3_prohibited_health_or_cooling,Level 3 unsupported/prohibited,"The burden proxy is mortality, morbidity, welfare, or planetary cooling.",docs/JCP_ANALYSIS_FREEZE.md;README.md,PROHIBITED_BY_DESIGN,State the limitation explicitly.,Do not convert thermal-stress burden to health outcomes.
