waterfall_id,scenario_id,stage_order,stage_id,stage_label,value,unit,numeric_status,evidence_status,eligibility,interpretation
burden_space,canonical_matched_event,1,global_theoretical_spatial_bound,Global theoretical spatial screening bound,777.7644653320312,burden_units_per_GJ,quantified,MODEL_OUTPUT,THEORETICAL_ONLY,One-unit marginal pair-search value; not a practical energy-delivery result.
burden_space,canonical_matched_event,2,same_location_temporal_bound,Same-location temporal screening bound,419.3293762207031,burden_units_per_GJ,quantified,MODEL_OUTPUT,THEORETICAL_ONLY,Temporal relocation retains heat at the source location and shifts release by 18 hours.
burden_space,canonical_matched_event,3,environmental_admissibility,Environmental admissibility,,burden_units_per_GJ,not_quantifiable_without_unit_bridge,EVIDENCE_GAP,EXCLUDED,External ambient relocation is excluded without receiving-capacity evidence; no burden-space derating is identifiable.
burden_space,canonical_matched_event,4,geographic_locality_constraint,Geographic/locality constraint,,burden_units_per_GJ,not_quantifiable_without_unit_bridge,EVIDENCE_GAP,EXCLUDED,The global source-sink pair is not mapped to the local Frontier-to-ORNL thermal-energy case.
burden_space,canonical_matched_event,5,pathway_eligibility,Pathway eligibility,,burden_units_per_GJ,not_quantifiable_without_unit_bridge,EVIDENCE_GAP,EXCLUDED,Only closed-loop reuse sensitivities remain conditional; no supported practical pathway converts burden units to delivered heat.
burden_space,canonical_matched_event,6,calibrated_technology_losses,Calibrated technology losses,,burden_units_per_GJ,not_quantifiable_without_unit_bridge,EVIDENCE_GAP,EXCLUDED,"Capture, auxiliary electricity, and network losses are not case-calibrated."
burden_space,canonical_matched_event,7,storage_capacity_demand,"Storage, capacity, and demand constraint",,burden_units_per_GJ,not_quantifiable_without_unit_bridge,EVIDENCE_GAP,EXCLUDED,Storage and demand are modeled only as physical-unit bounds and cannot be subtracted from burden units.
burden_space,canonical_matched_event,8,finite_dispatch,Finite dispatch,,burden_units_per_GJ,not_quantifiable_without_unit_bridge,EVIDENCE_GAP,EXCLUDED,Finite dispatch produces MWh quantities rather than burden-unit values.
burden_space,canonical_matched_event,9,practical_supported_endpoint,Practical supported endpoint,,burden_units_per_GJ,not_quantifiable_without_unit_bridge,EVIDENCE_GAP,EXCLUDED,No burden-space practical endpoint is identified under current public evidence.
physical_energy,direct_lower_demand_bound,1,measured_source_heat,Measured observed Frontier source heat,75573.59055081538,MWh_th,quantified,FOUND_MEASURED,SUPPORTED_INPUT,Observed valid intervals only; unavailable intervals contribute no imputed heat.
physical_energy,direct_lower_demand_bound,2,environmental_admissibility,Closed-loop reuse environmental screen,75573.59055081538,MWh_th,no_numeric_derating,BOUND_ONLY,CONDITIONAL,"Closed-loop reuse avoids a new external thermal discharge, but residual rejection remains in the existing system."
physical_energy,direct_lower_demand_bound,3,geographic_pathway_eligibility,Geographic/pathway eligibility,,MWh_th,not_case_calibrated,ROUTE_AND_HYDRAULICS_NOT_FOUND,CONDITIONAL,"Local reuse is conceptually eligible, but no calibrated hot-water route or hydraulic design exists."
physical_energy,direct_lower_demand_bound,4,calibrated_technology_losses,"Calibrated capture, network, and auxiliary losses",,MWh_th,not_case_calibrated,CAPTURE_AND_BOP_BOUND_ONLY,CONDITIONAL,"COP and unit capacity are bounded, but source capture, transport, and auxiliary electricity are not case-calibrated."
physical_energy,direct_lower_demand_bound,5,finite_dispatch_source_used,Conditional finite-dispatch source heat used,5590.872161160455,MWh_th,quantified_sensitivity,DEMAND_BOUND_SCENARIO,CONDITIONAL,"Source-side heat admitted by the stated capacity, demand-bound, and storage sensitivity."
physical_energy,direct_lower_demand_bound,6,finite_dispatch_useful_delivery,Conditional useful heat delivered,8278.791469410677,MWh_th,quantified_sensitivity,DEMAND_BOUND_SCENARIO,CONDITIONAL,Useful delivery includes heat-pump electricity and is not a subtraction from source-side heat.
physical_energy,direct_lower_demand_bound,7,finite_dispatch_residual_rejection,Conditional residual source rejection,69982.71838965492,MWh_th,quantified_sensitivity,DEMAND_BOUND_SCENARIO,CONDITIONAL,Residual source heat remains assigned to the existing rejection baseline.
physical_energy,direct_lower_demand_bound,8,practical_supported_endpoint,Practical supported useful-heat endpoint,,MWh_th,not_identified,RECEIVING_TRACE_AND_CALIBRATION_NOT_FOUND,EXCLUDED,No observed/calibrated annual Frontier-to-ORNL delivery endpoint is supported.
physical_energy,direct_upper_demand_bound,1,measured_source_heat,Measured observed Frontier source heat,75573.59055081538,MWh_th,quantified,FOUND_MEASURED,SUPPORTED_INPUT,Observed valid intervals only; unavailable intervals contribute no imputed heat.
physical_energy,direct_upper_demand_bound,2,environmental_admissibility,Closed-loop reuse environmental screen,75573.59055081538,MWh_th,no_numeric_derating,BOUND_ONLY,CONDITIONAL,"Closed-loop reuse avoids a new external thermal discharge, but residual rejection remains in the existing system."
physical_energy,direct_upper_demand_bound,3,geographic_pathway_eligibility,Geographic/pathway eligibility,,MWh_th,not_case_calibrated,ROUTE_AND_HYDRAULICS_NOT_FOUND,CONDITIONAL,"Local reuse is conceptually eligible, but no calibrated hot-water route or hydraulic design exists."
