source_id,source_key,source_type,source_location,extracted_fact,applicability,limitations
frontier_article_envelope,frontier_scientific_data_article,peer_reviewed_article,PDF pp. 1-2,Frontier draws 8-30 MW; waste heat is 30-38 deg C; campus heating applications require up to 85 deg C.,Case-specific source and sink temperature envelope.,"Narrative operating envelope, not the dispatch time series."
frontier_article_measurements,frontier_scientific_data_article,peer_reviewed_article,PDF pp. 5-6,The cooling loop carries 97-99% of waste heat; measurements are 10-minute data; coolant is 50/50 water-ethylene glycol.,Case-specific measurement method and temporal resolution.,The measured workbook remains the dispatch input.
frontier_workbook_summary,frontier_hpc_facility_data_v4,measured_workbook,Worksheet Frontier2023; validated Phase B inventory,Waste heat mean 9.0927 MW and maximum 26.3353 MW; supply temperature 7.2778-33.5556 deg C; return temperature 7.6507-45.6217 deg C.,Case-specific observed source profile.,Missing timestamps and return temperatures are retained; summary statistics must not replace the time series.
ornl_receiving_demand,frontier_ornl_showcase_report,engineering_report,PDF p. 8 (report p. 2),The 5600-5700-5800 complex uses up to 1-2 MW of 125 deg C steam to produce 80-90 deg C hot water.,Case-specific receiving-demand magnitude and grade.,The report does not publish a measured hourly demand trace.
ornl_carrier_performance,frontier_ornl_showcase_report,engineering_report,"PDF p. 16 (report p. 10), commercial MTHP table",Carrier AquaForce 61XWHZE has COP 3.08 at approximately 30 deg C source and 85 deg C sink; capacity range 0.2-2.5 MW.,Selected case heat-pump performance point.,Only the stated operating point is used; no COP map is inferred.
ornl_case_a_configuration,frontier_ornl_showcase_report,engineering_report,PDF pp. 25-26 (report pp. 19-20),"Case A uses three 1,000 kW Carrier units; reported unit capital cost is USD 200,000; the existing one-mile steam line loses about 8%.",Case-specific equipment count and equipment-only cost.,The cost scope and price year are not fully specified; the steam-line loss is not a hot-water-network parameter.
ornl_demand_data_gap,frontier_ornl_showcase_report,engineering_report,PDF p. 29 (report p. 23),Collecting building heating and hot-water demand data posed notable difficulties and was deferred to a subsequent phase.,Case-specific evidence gate for finite dispatch.,No hourly receiving-demand trace is available.
carrier_product_envelope,carrier_61xwhze_brochure,manufacturer_brochure,"PDF pp. 1, 3-4, and 7","61XWHZE delivers up to 85 deg C, spans 200-2,500 kW, can be cascaded to at least 12 MW, uses R-1234ze, and reports COP >=3.",Manufacturer operating envelope for the selected model.,Marketing brochure; case COP is taken from the ORNL table.
carrier_bearing_life,carrier_61xwhze_brochure,manufacturer_brochure,PDF pp. 4-5,"Compressor bearing life is stated as 100,000 operating hours without expensive mechanical revision and oil renewal.",Reliability context for the selected model.,Bearing life is not equivalent to full-system lifetime.
dea_heat_pump_2025,denmark_energy_plants_datasheets_2026_08,official_technology_datasheet,"Workbook sheet '40 Comp. hp, waste heat 1 MW', 2025 control column","Generic 1 MW waste-heat heat pump: COP 3.1, auxiliary electricity 1%, lifetime 25 years, total CAPEX 1.13 MEUR2025/MW, and O&M.",Current generic comparator for installed-system parameters.,"Reference conditions are 13/8 deg C source and 35/70 deg C district heat, with ammonia refrigerant; not the 30/85 deg C Carrier case."
dea_heat_pump_scope,denmark_energy_plants_datasheets_2026_08,official_technology_datasheet,"Workbook sheet '40 Comp. hp, waste heat 1 MW', notes A, A1, D, O, P, and T","Auxiliary electricity is included in COP; other costs include installation, controls, consultancy and connections; 80 deg C systems are estimated to cost 15% more.",Defines scope and prevents double counting.,The 15% factor is not extrapolated from 80 to 85 deg C.
dea_ttes_2025,denmark_energy_storage_datasheets_v0011,official_technology_datasheet,"Workbook sheet '141a TTES', 2025 control column","5,000 m3 TTES example: 290 MWh, 29 MW input/output, 98% round-trip efficiency, 0.15%/day storage loss, 0.4% auxiliary electricity, and 40-year lifetime.",Current generic steel tank thermal-storage comparator.,"Reference temperatures are 99/97 deg C hot-side and 55 K hot/cold difference, not a designed Frontier integration."
dea_ttes_cost_formula,denmark_energy_storage_catalogue_v0011,official_technology_catalogue,"PDF pp. 61-62, Figure 9 and economy-of-scale text","For 900-12,000 m3 TTES, specific CAPEX in EUR2025/m3 is P = 3,055 * V^-0.309.",Generic atmospheric TTES cost sensitivity.,"Excludes external pumps, heat exchangers and network connection; must not be extrapolated outside the stated volume range."
dea_ttes_scope,denmark_energy_storage_datasheets_v0011,official_technology_datasheet,"Workbook sheet '141a TTES', notes A-M",Capacity assumes 55 K and 90% availability; charge/discharge power is a design choice; 2025 control assumes a 10-hour cycle.,Storage parameter definitions and integration scope.,ORNL heating-water return temperature and hydraulic design are unknown.
cooldh_generic_network,cooldh_network_design_report_d2_7,public_project_report,PDF pp. 3 and 9,Traditional networks lose around 17% in high-density areas and up to 35% in low-density areas; pumping is around 2% of supplied heat.,Generic district-heating sensitivity bounds.,Not measured for a Frontier-to-ORNL route.
cooldh_osterby_network,cooldh_network_design_report_d2_7,public_project_report,PDF p. 24,Optimized Osterby network heat loss is about 10.8%.,Optimized-network sensitivity comparator.,"Different site, load density, temperatures and pipe geometry."
cooldh_brunnshog_network,cooldh_network_design_report_d2_7,public_project_report,PDF pp. 28 and 30,Brunnshog network loss is about 9% initially and about 3% at full build-out.,Low-temperature network sensitivity comparator.,Different site and future build-out assumptions.
