parameter_id,pathways,component,parameter_name,value,unit,value_kind,case_role,source_ids,derivation,scope,limitation
baseline_useful_heat_fraction,A,baseline,useful heat credited,0,fraction,definition,canonical,,,No-intervention counterfactual.,
baseline_residual_rejection_fraction,A,baseline,source heat rejected,1,fraction,definition,canonical,,,Before accounting for existing cooling-system auxiliary energy.,
source_waste_heat_mean_mw,A;B;C;D;E,source,measured waste heat mean,9.09265361858,MW_th,derived,context_only,frontier_workbook_summary,Arithmetic mean of numeric Overall_WasteHeat observations in worksheet Frontier2023; units row and missing cells excluded.,2023 Frontier workbook after preserving missing observations.,
source_waste_heat_min_mw,A;B;C;D;E,source,measured waste heat minimum,0,MW_th,derived,context_only,frontier_workbook_summary,Minimum of numeric Overall_WasteHeat observations in worksheet Frontier2023; units row and missing cells excluded.,,
source_waste_heat_median_mw,A;B;C;D;E,source,measured waste heat median,8.58568002133,MW_th,derived,context_only,frontier_workbook_summary,Median of numeric Overall_WasteHeat observations in worksheet Frontier2023; units row and missing cells excluded.,,
source_waste_heat_p95_mw,A;B;C;D;E,source,measured waste heat 95th percentile,14.7010922411,MW_th,derived,context_only,frontier_workbook_summary,95th percentile of numeric Overall_WasteHeat observations in worksheet Frontier2023; units row and missing cells excluded.,,
source_waste_heat_max_mw,A;B;C;D;E,source,measured waste heat maximum,26.3352728318,MW_th,derived,context_only,frontier_workbook_summary,Maximum of numeric Overall_WasteHeat observations in worksheet Frontier2023; units row and missing cells excluded.,,
source_supply_temperature_median_c,B;C;D;E,source,measured coolant supply temperature median,20.5,deg_C,derived,context_only,frontier_workbook_summary,Median of numeric Overall Coolant Supply Temp observations in worksheet Frontier2023; units row and missing cells excluded.,,
source_return_temperature_median_c,B;C;D;E,source,measured coolant return temperature median,31.8029541921,deg_C,derived,context_only,frontier_workbook_summary,Median of numeric Overall-average Coolant Return Temp observations in worksheet Frontier2023; units row and missing cells excluded.,,
source_temperature_article_min_c,B;C;D;E,source,engineering source temperature minimum,30,deg_C,direct_source,canonical,frontier_article_envelope,,,
source_temperature_article_max_c,B;C;D;E,source,engineering source temperature maximum,38,deg_C,direct_source,canonical,frontier_article_envelope,,,
