snapshot_id,citation_key,doi,retrieved_utc,source_url,local_path,file_size_bytes,sha256,completion
crossref_20260924T070837Z,hersbach2020era5,10.1002/qj.3803,2026-09-24T07:08:37+00:00,https://api.crossref.org/works/10.1002%2Fqj.3803,data/raw/references/crossref_20260924T070837Z/hersbach2020era5.json,42688,32292c3e570c1c4926e818c989fdaecbdce36465d2ef4f3326c59c89d8a12bc8,complete
crossref_20260924T070837Z,dinapoli2021era5heat,10.1002/gdj3.102,2026-09-24T07:08:37+00:00,https://api.crossref.org/works/10.1002%2Fgdj3.102,data/raw/references/crossref_20260924T070837Z/dinapoli2021era5heat.json,11333,39e89f11ab6d9262d2265f8b5d1618fe864d182dba04bacbbfbd1ef2ee6e60b4,complete
crossref_20260924T070837Z,flanner2009anthropogenic,10.1029/2008GL036465,2026-09-24T07:08:37+00:00,https://api.crossref.org/works/10.1029%2F2008GL036465,data/raw/references/crossref_20260924T070837Z/flanner2009anthropogenic.json,5555,25000842405a9e9dc61e4dc00d5c5e3f3b3df97d8728ba9b88aaf14691256c6b,complete
crossref_20260924T070837Z,chen2004anthropogenic,10.1029/2004GL019852,2026-09-24T07:08:37+00:00,https://api.crossref.org/works/10.1029%2F2004GL019852,data/raw/references/crossref_20260924T070837Z/chen2004anthropogenic.json,5535,0d9ba3af97d68aa6b8afda284a76a3bb76b04c279075f097ee89677ebbc96040,complete
crossref_20260924T070837Z,li2022allocation,10.1016/j.cie.2022.108448,2026-09-24T07:08:37+00:00,https://api.crossref.org/works/10.1016%2Fj.cie.2022.108448,data/raw/references/crossref_20260924T070837Z/li2022allocation.json,16957,36667968b2d3ee6db0db5aa149b5d001433b5e38f308b8bc2b4e3dcd7208b875,complete
crossref_20260924T070837Z,guelpa2019storage,10.1016/j.apenergy.2019.113474,2026-09-24T07:08:37+00:00,https://api.crossref.org/works/10.1016%2Fj.apenergy.2019.113474,data/raw/references/crossref_20260924T070837Z/guelpa2019storage.json,86821,db21563320709fb217d3ee39767200e4c509796ad18defb749088455b5eb05bc,complete
crossref_20260924T070837Z,lund2014district,10.1016/j.energy.2014.02.089,2026-09-24T07:08:37+00:00,https://api.crossref.org/works/10.1016%2Fj.energy.2014.02.089,data/raw/references/crossref_20260924T070837Z/lund2014district.json,24783,cc77b6b198909e0180321d6ac2859c8892393a30d3870866499b58a5b6c2f1df,complete
crossref_20260924T070837Z,peyre2019transport,10.1561/2200000073,2026-09-24T07:08:37+00:00,https://api.crossref.org/works/10.1561%2F2200000073,data/raw/references/crossref_20260924T070837Z/peyre2019transport.json,117801,84917c6eeb4dc5c751b8547aae07f3977d23e1868a0458b882f66795f2651494,complete
crossref_20260924T070837Z,john2022oceanmover,10.1098/rspa.2021.0875,2026-09-24T07:08:37+00:00,https://api.crossref.org/works/10.1098%2Frspa.2021.0875,data/raw/references/crossref_20260924T070837Z/john2022oceanmover.json,16264,3a9ef2ba1978c2b4705150cd07a5ad6b44cefe9e336cdc2eb7925f06a3fccbaa,complete
crossref_20260924T070837Z,parno2019seaice,10.1029/2019GL083037,2026-09-24T07:08:37+00:00,https://api.crossref.org/works/10.1029%2F2019GL083037,data/raw/references/crossref_20260924T070837Z/parno2019seaice.json,8569,555eacff8aacb487fe61eefdf4ef402a95fd88586389cfb98d3c0d8cafac4319,complete
crossref_20260924T070837Z,vissio2020wasserstein,10.1029/2020GL089385,2026-09-24T07:08:37+00:00,https://api.crossref.org/works/10.1029%2F2020GL089385,data/raw/references/crossref_20260924T070837Z/vissio2020wasserstein.json,10567,28162cdaa6c5b688efd26e27ef9e632ebacb33760af364d5bf3f73a036bbdef1,complete
crossref_20260924T070837Z,buzan2015heatstress,10.5194/gmd-8-151-2015,2026-09-24T07:08:37+00:00,https://api.crossref.org/works/10.5194%2Fgmd-8-151-2015,data/raw/references/crossref_20260924T070837Z/buzan2015heatstress.json,37639,10963c9abd085037c2ba78334cd553e4f7d9e01933b78129bfc65e89402172b0,complete
crossref_20260924T070837Z,liljegren2008wbgt,10.1080/15459620802310770,2026-09-24T07:08:37+00:00,https://api.crossref.org/works/10.1080%2F15459620802310770,data/raw/references/crossref_20260924T070837Z/liljegren2008wbgt.json,5117,e9eac59417be2a3677e66c6aa7877e4bfb710358065abe3da051c1217fcf8a63,complete
crossref_20260924T070837Z,raymond2020heat,10.1126/sciadv.aaw1838,2026-09-24T07:08:37+00:00,https://api.crossref.org/works/10.1126%2Fsciadv.aaw1838,data/raw/references/crossref_20260924T070837Z/raymond2020heat.json,9086,f2f0dd928f4438b604a0020810e36f612f34309c455df7862f0c1031124f985a,complete
crossref_20260924T070837Z,mora2017deadlyheat,10.1038/nclimate3322,2026-09-24T07:08:37+00:00,https://api.crossref.org/works/10.1038%2Fnclimate3322,data/raw/references/crossref_20260924T070837Z/mora2017deadlyheat.json,16990,28a583986b8d2c9cfb377edd2b771fa00fc683fcf60ec61f89cefd5b1edd4ffb,complete
crossref_20260924T070837Z,loeb2018ceres,10.1175/JCLI-D-17-0208.1,2026-09-24T07:08:37+00:00,https://api.crossref.org/works/10.1175%2FJCLI-D-17-0208.1,data/raw/references/crossref_20260924T070837Z/loeb2018ceres.json,10838,7ee5836aa4023c8499bcd15c8c23653be37f2ff1078f53e9ea9c0dd74fea74c2,complete
crossref_20260924T070837Z,raman2014radiative,10.1038/nature13883,2026-09-24T07:08:37+00:00,https://api.crossref.org/works/10.1038%2Fnature13883,data/raw/references/crossref_20260924T070837Z/raman2014radiative.json,16368,6fbe55d6b904dad2e2abb2c7076326659624234c1ea19c14d3e774d6169c1b6c,complete
crossref_20260924T085737Z,kalnay1996ncep,10.1175/1520-0477(1996)077<0437:TNYRP>2.0.CO;2,2026-09-24T08:57:37+00:00,https://api.crossref.org/works/10.1175%2F1520-0477%281996%29077%3C0437%3ATNYRP%3E2.0.CO%3B2,data/raw/references/crossref_20260924T085737Z/kalnay1996ncep.json,4607,ea394247e966f43ea627e62a0ef838742b3dacf1a4bc62700365b754ce96d30c,complete
crossref_20260924T085737Z,tatem2017worldpop,10.1038/sdata.2017.1,2026-09-24T08:57:37+00:00,https://api.crossref.org/works/10.1038%2Fsdata.2017.1,data/raw/references/crossref_20260924T085737Z/tatem2017worldpop.json,37577,42a0f1ca7f05b405deea50e0ca112e9cd48d0a44da3e430dda18dfe9f2bce31c,complete
crossref_20260924T085737Z,hersbach2020era5,10.1002/qj.3803,2026-09-24T08:57:37+00:00,https://api.crossref.org/works/10.1002%2Fqj.3803,data/raw/references/crossref_20260924T085737Z/hersbach2020era5.json,42688,32292c3e570c1c4926e818c989fdaecbdce36465d2ef4f3326c59c89d8a12bc8,complete
