metric,threshold,curvature,mixing_height_m,source_time,source_latitude,source_longitude,source_country,source_population,source_metric,source_stress_excess,maximum_marginal_burden_per_gj
humidex,22.0,1.0,50.0,2023-01-01T00:00:00,23.809200286865234,90.0,Bangladesh,70240470.9212153,28.255996704101562,6.2559967041015625,28.245783002805915
humidex,22.0,1.0,100.0,2023-01-01T00:00:00,23.809200286865234,90.0,Bangladesh,70240470.9212153,28.255996704101562,6.2559967041015625,14.122891501402957
humidex,22.0,1.0,200.0,2023-01-01T00:00:00,23.809200286865234,90.0,Bangladesh,70240470.9212153,28.255996704101562,6.2559967041015625,7.061445750701479
humidex,22.0,2.0,50.0,2023-06-05T00:00:00,23.809200286865234,90.0,Bangladesh,70240470.9212153,53.53559494018555,31.535594940185547,1781.4951430897302
humidex,22.0,2.0,100.0,2023-06-05T00:00:00,23.809200286865234,90.0,Bangladesh,70240470.9212153,53.53559494018555,31.535594940185547,890.7475715448651
humidex,22.0,2.0,200.0,2023-06-05T00:00:00,23.809200286865234,90.0,Bangladesh,70240470.9212153,53.53559494018555,31.535594940185547,445.37378577243254
humidex,22.0,3.0,50.0,2023-06-05T00:00:00,23.809200286865234,90.0,Bangladesh,70240470.9212153,53.53559494018555,31.535594940185547,84270.76383057842
humidex,22.0,3.0,100.0,2023-06-05T00:00:00,23.809200286865234,90.0,Bangladesh,70240470.9212153,53.53559494018555,31.535594940185547,42135.38191528921
humidex,22.0,3.0,200.0,2023-06-05T00:00:00,23.809200286865234,90.0,Bangladesh,70240470.9212153,53.53559494018555,31.535594940185547,21067.690957644605
humidex,26.0,1.0,50.0,2023-01-01T00:00:00,23.809200286865234,90.0,Bangladesh,70240470.9212153,28.255996704101562,2.2559967041015625,28.245783002805915
humidex,26.0,1.0,100.0,2023-01-01T00:00:00,23.809200286865234,90.0,Bangladesh,70240470.9212153,28.255996704101562,2.2559967041015625,14.122891501402957
humidex,26.0,1.0,200.0,2023-01-01T00:00:00,23.809200286865234,90.0,Bangladesh,70240470.9212153,28.255996704101562,2.2559967041015625,7.061445750701479
humidex,26.0,2.0,50.0,2023-06-05T00:00:00,23.809200286865234,90.0,Bangladesh,70240470.9212153,53.53559494018555,27.535594940185547,1555.5288790672828
humidex,26.0,2.0,100.0,2023-06-05T00:00:00,23.809200286865234,90.0,Bangladesh,70240470.9212153,53.53559494018555,27.535594940185547,777.7644395336414
humidex,26.0,2.0,200.0,2023-06-05T00:00:00,23.809200286865234,90.0,Bangladesh,70240470.9212153,53.53559494018555,27.535594940185547,388.8822197668207
humidex,26.0,3.0,50.0,2023-06-05T00:00:00,23.809200286865234,90.0,Bangladesh,70240470.9212153,53.53559494018555,27.535594940185547,64248.61969763636
humidex,26.0,3.0,100.0,2023-06-05T00:00:00,23.809200286865234,90.0,Bangladesh,70240470.9212153,53.53559494018555,27.535594940185547,32124.30984881818
humidex,26.0,3.0,200.0,2023-06-05T00:00:00,23.809200286865234,90.0,Bangladesh,70240470.9212153,53.53559494018555,27.535594940185547,16062.15492440909
humidex,30.0,1.0,50.0,2023-01-09T00:00:00,23.809200286865234,90.0,Bangladesh,70240470.9212153,31.94856834411621,1.948568344116211,28.245783002805915
humidex,30.0,1.0,100.0,2023-01-09T00:00:00,23.809200286865234,90.0,Bangladesh,70240470.9212153,31.94856834411621,1.948568344116211,14.122891501402957
humidex,30.0,1.0,200.0,2023-01-09T00:00:00,23.809200286865234,90.0,Bangladesh,70240470.9212153,31.94856834411621,1.948568344116211,7.061445750701479
humidex,30.0,2.0,50.0,2023-06-05T00:00:00,23.809200286865234,90.0,Bangladesh,70240470.9212153,53.53559494018555,23.535594940185547,1329.5626150448354
humidex,30.0,2.0,100.0,2023-06-05T00:00:00,23.809200286865234,90.0,Bangladesh,70240470.9212153,53.53559494018555,23.535594940185547,664.7813075224177
humidex,30.0,2.0,200.0,2023-06-05T00:00:00,23.809200286865234,90.0,Bangladesh,70240470.9212153,53.53559494018555,23.535594940185547,332.39065376120885
humidex,30.0,3.0,50.0,2023-06-05T00:00:00,23.809200286865234,90.0,Bangladesh,70240470.9212153,53.53559494018555,23.535594940185547,46938.07073296365
humidex,30.0,3.0,100.0,2023-06-05T00:00:00,23.809200286865234,90.0,Bangladesh,70240470.9212153,53.53559494018555,23.535594940185547,23469.035366481825
humidex,30.0,3.0,200.0,2023-06-05T00:00:00,23.809200286865234,90.0,Bangladesh,70240470.9212153,53.53559494018555,23.535594940185547,11734.517683240912
air_temperature,24.0,2.0,100.0,2023-04-15T00:00:00,23.809200286865234,90.0,Bangladesh,70240470.9212153,43.849998474121094,19.849998474121094,560.6787495060529
air_temperature,26.0,2.0,100.0,2023-04-15T00:00:00,23.809200286865234,90.0,Bangladesh,70240470.9212153,43.849998474121094,17.849998474121094,504.18718350044117
air_temperature,28.0,2.0,100.0,2023-04-15T00:00:00,23.809200286865234,90.0,Bangladesh,70240470.9212153,43.849998474121094,15.849998474121094,447.6956174948293
wet_bulb_proxy,22.0,2.0,100.0,2023-06-05T00:00:00,23.809200286865234,90.0,Bangladesh,70240470.9212153,30.33573341369629,8.335733413696289,65.7916867299782
wet_bulb_proxy,24.0,2.0,100.0,2023-06-05T00:00:00,23.809200286865234,90.0,Bangladesh,70240470.9212153,30.33573341369629,6.335733413696289,50.00622827904523
wet_bulb_proxy,26.0,2.0,100.0,2023-06-05T00:00:00,23.809200286865234,90.0,Bangladesh,70240470.9212153,30.33573341369629,4.335733413696289,34.22076982811226
