analysis,scenario,transport_penalty_per_gj_km,storage_penalty_per_gj_step,maximum_distance_km,maximum_lag_steps,source_time,sink_time,source_latitude,source_longitude,sink_latitude,sink_longitude,source_country,sink_country,source_population,sink_population,source_marginal_benefit,sink_marginal_burden,distance_km,transport_penalty,storage_penalty,net_benefit,relocation_dominates,source_flags,sink_flags,evaluated_sources
spatial,unconstrained_theoretical_upper_bound,0.0,0.0,inf,0,2023-06-05T00:00:00,2023-06-05T00:00:00,23.809200286865234,90.0,88.54199981689453,0.0,Bangladesh,Ocean,70240470.9212153,0.0,777.7644653320312,0.0,7361.001387024276,0.0,0.0,777.7644653320312,True,,open_ocean;cryosphere;polar;zero_population;local_night,all source times
spatial,primary_land_noncryosphere,0.0,0.0,5000.0,0,2023-06-05T00:00:00,2023-06-05T00:00:00,23.809200286865234,90.0,44.76110076904297,135.0,Bangladesh,Russia,70240470.9212153,79620.15979094617,777.7644653320312,0.0,4665.747235010652,0.0,0.0,777.7644653320312,True,,,1381
spatial,primary_land_noncryosphere,1e-06,0.0,5000.0,0,2023-06-05T00:00:00,2023-06-05T00:00:00,23.809200286865234,90.0,27.618600845336914,90.0,Bangladesh,Bhutan,70240470.9212153,1328528.595722762,777.7644653320312,0.0,423.58660074092353,0.0004235866007409235,0.0,777.7640417454305,True,,,1381
spatial,primary_land_noncryosphere,1e-05,0.0,5000.0,0,2023-06-05T00:00:00,2023-06-05T00:00:00,23.809200286865234,90.0,27.618600845336914,90.0,Bangladesh,Bhutan,70240470.9212153,1328528.595722762,777.7644653320312,0.0,423.58660074092353,0.004235866007409236,0.0,777.7602294660238,True,,,1381
spatial,primary_land_noncryosphere,0.0001,0.0,5000.0,0,2023-06-05T00:00:00,2023-06-05T00:00:00,23.809200286865234,90.0,27.618600845336914,90.0,Bangladesh,Bhutan,70240470.9212153,1328528.595722762,777.7644653320312,0.0,423.58660074092353,0.04235866007409236,0.0,777.7221066719571,True,,,1381
spatial,primary_land_noncryosphere,0.001,0.0,5000.0,0,2023-06-05T00:00:00,2023-06-05T00:00:00,23.809200286865234,90.0,27.618600845336914,90.0,Bangladesh,Bhutan,70240470.9212153,1328528.595722762,777.7644653320312,0.0,423.58660074092353,0.4235866007409235,0.0,777.3408787312903,True,,,1381
spatial,primary_land_noncryosphere,0.01,0.0,5000.0,0,2023-06-05T00:00:00,2023-06-05T00:00:00,23.809200286865234,90.0,27.618600845336914,90.0,Bangladesh,Bhutan,70240470.9212153,1328528.595722762,777.7644653320312,0.0,423.58660074092353,4.235866007409236,0.0,773.5285993246221,True,,,1381
spatial,primary_land_noncryosphere,0.1,0.0,5000.0,0,2023-06-05T00:00:00,2023-06-05T00:00:00,23.809200286865234,90.0,27.618600845336914,90.0,Bangladesh,Bhutan,70240470.9212153,1328528.595722762,777.7644653320312,0.0,423.58660074092353,42.358660074092356,0.0,735.4058052579389,True,,,1381
spatial,primary_land_noncryosphere,1.0,0.0,5000.0,0,2023-04-29T00:00:00,2023-04-29T00:00:00,23.809200286865234,90.0,25.713899612426758,90.0,Bangladesh,India,70240470.9212153,31476840.39032942,706.9494018554688,84.22760772705078,211.79319432656976,211.79319432656976,0.0,410.92859980184824,True,,,928
spatial,primary_land_noncryosphere,5.0,0.0,5000.0,0,2023-07-30T00:00:00,2023-07-30T00:00:00,75.23509979248047,99.375,75.23509979248047,101.25,Russia,Russia,120.28699151500405,86.03457588885794,0.0003838261472992599,0.0001498870551586151,53.132371735583526,265.6618586779176,0.0,-265.6616247388255,False,polar,polar,1894
